Guide ID,Guide Name,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Total
42555,MCE 401/402 and Graduate Students,3,9,10,2,0,2,1,2,1,13,6,4,3,56
1147760,Third Iron,2,0,11,10,6,1,2,2,3,10,4,1,4,56
1041502,LGBTQ+ Resources,5,3,3,2,4,0,2,6,5,9,4,8,4,55
42386,Nutrition and Dietetics,3,0,0,7,1,6,2,3,5,3,2,13,8,53
42525,"Electrical, Computer and Biomedical Engineering Resources",3,8,8,6,4,2,4,1,5,7,2,2,0,52
42365,Chemical Processing Plants,5,1,1,4,0,12,4,2,3,12,1,6,0,51
42653,LSC 557: Research and Evaluation in Library and Information Services,5,2,6,9,2,3,3,2,3,2,3,11,0,51
42355,Government Statistics,3,0,0,3,3,1,1,0,3,18,11,6,0,49
42526,Treaties,2,1,3,1,7,3,4,1,2,20,3,2,0,49
42552,Paleontology,3,2,2,0,4,1,9,4,7,9,2,3,3,49
42571,LIB Basics: The Internet,0,0,3,6,4,4,3,0,2,6,5,9,7,49
42651,AAF 202: Introduction to African American Culture,0,5,1,6,12,2,3,3,7,9,0,1,0,49
42495,AAF 300: Genocide,4,3,0,5,3,1,1,3,0,18,1,3,6,48
42406,Microbiology,2,2,2,2,3,5,1,6,2,11,9,1,0,46
1454042,Product Life Cycle Analysis,0,0,0,0,0,0,0,0,0,42,3,1,0,46
42601,InfoRhode Tutorials,2,1,0,5,11,6,0,0,4,10,2,1,3,45
42395,Ecology and Wildlife Biology,0,2,2,3,4,4,1,1,2,2,22,1,0,44
42435,Marketing and Advertising,4,4,1,4,0,1,4,3,8,8,3,2,2,44
42471,Ethnic Studies,0,1,3,1,5,1,3,8,3,12,3,2,1,43
42475,German Language and Literature,8,0,2,2,9,4,2,1,3,10,0,1,0,42
42556,CHE 351/352 and Graduate Students,2,5,1,2,2,8,1,3,3,9,1,3,1,41
1009782,Perma.cc,2,5,8,4,2,2,1,2,4,2,1,6,2,41
42559,ELE 480/481 and Graduate Students,1,3,2,3,3,4,3,1,1,12,2,0,5,40
42577,LIB Basics: Ethical Use of Information,3,3,0,1,2,2,2,0,6,10,6,2,2,39
581975,ECN 306,0,0,0,4,1,5,3,2,2,18,3,0,1,39
1367868,Engineering Resources,0,0,4,0,0,0,0,1,0,0,0,20,14,39
42337,Special Education,6,5,0,5,1,1,6,0,2,12,0,0,0,38
42468,International Business,5,1,1,3,1,2,1,1,2,10,10,0,1,38
42490,Economics,3,2,0,4,2,2,0,2,7,7,4,3,2,38
42575,"LIB Basics: Facts, Statistics & Bias",8,0,3,2,2,2,1,3,6,4,1,6,0,38
1027253,Supply Chain Management,2,2,0,5,2,5,2,1,4,8,6,1,0,38
42511,Natural Resources,0,1,0,2,3,2,1,1,2,12,4,2,6,36
42528,Physics,3,0,0,4,3,2,2,0,4,10,3,1,4,36
42491,PSC 210: American Politics: Theories and Applications,5,2,1,3,0,4,0,2,3,12,0,0,0,32
42581,HIS 359 / AAF 359 - History of Slavery,4,1,0,6,0,0,1,1,2,9,2,6,0,32
704205,Mendeley,1,1,3,4,6,3,1,5,0,4,1,1,2,32
42567,Patents & Patent Searching,0,2,0,12,3,1,3,0,1,4,3,1,1,31
42513,Genocide Research,1,1,0,6,0,0,0,0,2,17,1,2,0,30
42462,Labor Relations,3,2,0,4,4,0,0,0,2,5,4,1,4,29
42476,French Language and Literature,1,1,3,2,0,6,2,1,0,11,1,1,0,29
1003306,LHR551/MBA571 Research Guide,1,3,0,0,0,10,0,0,4,10,1,0,0,29
42568,LIB Basics: Finding Article Information - Databases,0,0,0,0,4,2,0,1,9,6,2,3,1,28
42348,HIS 171: East Asian Culture and History,0,0,0,2,2,0,0,3,1,9,2,8,0,27
42400,"HIS 401 & 495, The Crusades",0,0,1,0,2,1,1,1,3,7,10,1,0,27
42465,Small Business,0,2,1,9,3,0,0,0,0,8,3,1,0,27
42610,NUR 500/NUR 660,0,0,0,4,0,0,0,4,14,3,0,1,1,27
42560,OCE 495/496 and Graduate Students,0,0,4,0,0,4,0,2,1,8,0,4,2,25
991441,HIS 441/495: Rhode Island Applied History and Policy,0,4,2,2,0,1,0,3,2,8,1,0,1,24
42524,Ocean Engineering Resources,1,0,0,2,1,2,3,1,1,8,0,0,3,22
1147769,Lean Library,0,6,2,2,2,4,0,0,1,3,1,1,0,22
42367,Technical Reports,1,0,0,0,1,4,1,0,3,8,3,0,0,21
42489,"HIS 441 & 495, Prof. Mather",1,2,1,2,1,0,0,0,3,11,0,0,0,21
42502,Landscape Architecture,0,1,0,4,1,0,1,1,1,9,0,1,1,20
42655,HIS 336: The American Revolution and Confederation: 1763-1789,0,0,9,0,0,0,0,2,1,6,1,1,0,20
65875,Modern European History,0,0,0,0,0,0,0,0,5,14,1,0,0,20
318396,New Books @ the URI Libraries,1,1,1,5,1,1,1,0,3,1,1,2,2,20
1074287,The URI Libraries and COVID-19,2,3,0,0,0,2,0,0,5,2,5,0,1,20
